MSOA_code,LowFruit ,LowFruitLCI,LowFruitUCI,LowVeg,LowVegLCI,LowVegUCI,LowFV,LowFVLCI,LowFVUCI,HighSSB,HighSSBLCI,HighSSBUCI
E02000001,58.08324021,52.5,63.97,19.51794859,12.77,29.56,8.086200802,3.7,17.1,11.6171125,5.44,23.15
E02000002,61.13423835,55.65,66.84,21.36313291,14.09,31.98,9.158511811,4.22,19.12,12.9235644,6.1,25.38
E02000003,55.04945514,49.42,61.08,16.92519759,10.95,26.06,6.636456766,3.01,14.29,12.9042673,6.09,25.35
E02000004,54.50256759,48.86,60.55,17.27843759,11.2,26.55,6.850283663,3.11,14.71,12.7726847,6.02,25.13
E02000005,58.22323461,52.64,64.1,18.83952507,12.29,28.66,7.747710317,3.54,16.45,13.6430125,6.46,26.58
E02000007,62.51972752,57.09,68.13,22.2326239,14.72,33.1,9.604217561,4.44,19.95,13.6794278,6.48,26.64
E02000008,60.23900599,54.72,66,20.52264448,13.49,30.88,8.664339659,3.98,18.2,13.2048955,6.24,25.85
E02000009,60.84101712,55.34,66.57,20.44340863,13.43,30.78,8.597031398,3.95,18.07,14.2005148,6.75,27.5
E02000010,60.16486604,54.64,65.93,20.49106615,13.46,30.84,8.647198374,3.97,18.17,13.1810497,6.23,25.81
E02000011,55.41441436,49.78,61.43,17.25019999,11.18,26.51,6.831069575,3.11,14.67,13.0697996,6.17,25.63
E02000012,54.97462357,49.34,61.01,16.54625495,10.69,25.54,6.466686532,2.93,13.95,13.7144267,6.5,26.7
E02000013,60.8748416,55.38,66.6,20.76265326,13.66,31.2,8.821275692,4.06,18.49,13.6082975,6.44,26.53
E02000014,60.66057262,55.16,66.4,20.82532232,13.7,31.28,8.863431234,4.08,18.57,13.0366145,6.15,25.57
E02000015,64.13950558,58.79,69.62,23.10737401,15.35,34.21,10.12090196,4.69,20.89,14.0671231,6.68,27.28
E02000016,64.42485073,59.09,69.88,21.69373041,14.33,32.4,9.323800905,4.3,19.43,15.0983022,7.22,28.96
E02000017,56.31661873,50.7,62.29,17.00442154,11.01,26.17,6.659400449,3.02,14.33,13.8186947,6.55,26.87
E02000018,62.58015788,57.16,68.18,21.66012365,14.3,32.36,9.340459098,4.31,19.46,14.3631024,6.83,27.77
E02000019,60.44764898,54.94,66.2,20.38619039,13.39,30.7,8.645393837,3.97,18.16,13.541612,6.41,26.42
E02000020,61.33902297,55.86,67.03,20.45728358,13.44,30.8,8.673162233,3.99,18.21,14.1121096,6.7,27.36
E02000021,57.56728194,51.97,63.48,18.52975079,12.07,28.24,7.54823048,3.45,16.07,13.4366741,6.36,26.24
E02000022,69.4630564,64.47,74.46,25.259962,16.94,36.9,11.4902298,5.37,23.34,15.073141,7.2,28.92
E02000023,65.44027621,60.17,70.81,23.16162447,15.39,34.28,10.20272765,4.73,21.04,14.832171,7.08,28.53
E02000024,50.5825169,44.95,56.74,15.07579331,9.68,23.5,5.606716017,2.53,12.23,10.0219121,4.64,20.34
E02000025,53.57373458,47.93,59.66,16.77485177,10.85,25.86,6.5396744,2.97,14.1,10.6437491,4.95,21.45
E02000026,50.77885792,45.14,56.93,15.12396247,9.71,23.57,5.639506884,2.55,12.29,10.160105,4.71,20.58
E02000027,58.02855895,52.45,63.92,19.90648654,13.05,30.07,8.364323468,3.84,17.63,11.5544485,5.4,23.04
E02000028,51.75313838,46.11,57.89,15.19962152,9.76,23.67,5.704674944,2.58,12.42,10.8214954,5.04,21.76
E02000029,54.12115967,48.48,60.18,16.5988136,10.73,25.62,6.478425949,2.94,13.97,11.8316938,5.54,23.52
E02000030,50.40143101,44.77,56.56,15.48027609,9.96,24.07,5.864879121,2.65,12.75,9.4039697,4.34,19.22
E02000031,51.99881945,46.35,58.13,15.72574419,10.12,24.41,5.971443671,2.7,12.96,10.0647262,4.67,20.41
E02000032,49.3135639,43.7,55.49,14.23655673,9.11,22.31,5.169468653,2.33,11.33,10.0092451,4.64,20.31
E02000033,54.48354185,48.84,60.53,17.20789879,11.15,26.45,6.798787217,3.09,14.61,11.6400506,5.45,23.19
E02000034,53.34892061,47.7,59.44,16.35233262,10.56,25.28,6.352795471,2.88,13.73,10.8633798,5.06,21.83
E02000035,54.78544103,49.15,60.82,17.07532248,11.06,26.27,6.696690269,3.04,14.41,11.107172,5.18,22.26
E02000036,54.01903581,48.38,60.09,16.56316746,10.7,25.57,6.463791048,2.93,13.95,11.6807996,5.47,23.26
E02000037,54.03578804,48.39,60.1,16.85028219,10.9,25.96,6.702628236,3.04,14.42,10.7546133,5.01,21.64
E02000038,54.4752049,48.84,60.53,16.69417949,10.79,25.75,6.532373081,2.96,14.08,11.930584,5.59,23.69
E02000039,51.46544239,45.82,57.6,15.04243379,9.66,23.45,5.606546083,2.53,12.23,10.8483853,5.05,21.81
E02000040,57.21789376,51.62,63.15,18.88528543,12.32,28.72,7.768123801,3.55,16.49,11.3750259,5.31,22.73
E02000041,54.54930412,48.91,60.6,16.79314537,10.86,25.88,6.580645129,2.99,14.18,11.6680723,5.46,23.24
E02000042,55.38121225,49.75,61.4,16.98966876,11,26.15,6.752466768,3.07,14.52,11.7928577,5.52,23.46
E02000043,51.24875196,45.61,57.39,14.76791395,9.47,23.07,5.522602728,2.49,12.06,10.0215053,4.64,20.34
E02000044,59.34167418,53.79,65.16,19.99115936,13.11,30.18,8.414537355,3.86,17.73,12.4326108,5.85,24.55
E02000045,58.37373577,52.8,64.25,19.36628019,12.66,29.36,7.988215427,3.66,16.92,12.5901269,5.93,24.82
E02000046,55.66007374,50.03,61.66,16.89201338,10.93,26.02,6.706091752,3.05,14.43,12.123506,5.69,24.02
E02000047,60.02722884,54.5,65.8,20.12545446,13.2,30.36,8.480221174,3.89,17.85,12.9277997,6.1,25.39
E02000048,52.52278598,46.88,58.64,15.60061386,10.04,24.23,5.915853505,2.67,12.85,10.8021933,5.03,21.73
E02000049,67.48342311,62.34,72.67,25.10519185,16.83,36.71,11.35457911,5.3,23.1,13.7096338,6.5,26.69
E02000050,57.76890508,52.18,63.67,19.02512775,12.42,28.9,7.790053502,3.56,16.54,12.2169555,5.74,24.18
E02000051,54.02556851,48.38,60.09,16.55655665,10.7,25.56,6.422033335,2.91,13.86,11.12326,5.19,22.29
E02000052,56.98105387,51.38,62.93,18.33120576,11.93,27.97,7.364696845,3.36,15.71,12.0237025,5.64,23.85
E02000053,59.51533642,53.97,65.32,19.07735887,12.46,28.97,7.755209183,3.54,16.47,14.6570303,6.99,28.25
E02000054,55.63960402,50.01,61.64,17.0655367,11.05,26.26,6.685583332,3.04,14.38,12.6932337,5.98,24.99
E02000055,57.8954345,52.31,63.79,18.51829337,12.06,28.23,7.429443082,3.39,15.84,13.5927584,6.44,26.5
E02000056,51.02318046,45.39,57.17,15.00845297,9.63,23.4,5.615566222,2.53,12.24,9.6534846,4.46,19.67
E02000057,55.56144635,49.93,61.57,16.82547814,10.88,25.93,6.498130836,2.95,14.01,13.2456916,6.26,25.92
E02000058,53.19189136,47.55,59.29,16.02535581,10.33,24.82,6.120157318,2.77,13.26,11.1369482,5.2,22.32
E02000059,58.37832107,52.8,64.25,18.88621442,12.32,28.72,7.72905531,3.53,16.42,12.8692813,6.07,25.29
E02000060,55.55341384,49.93,61.56,16.93774567,10.96,26.08,6.573235062,2.98,14.16,13.0518191,6.16,25.6
E02000061,54.79397769,49.16,60.83,16.58134821,10.71,25.59,6.443304971,2.92,13.91,11.7296187,5.49,23.35
E02000062,61.49768764,56.03,67.18,21.12162564,13.91,31.66,8.983225162,4.14,18.8,13.8772269,6.58,26.97
E02000063,56.30690241,50.69,62.28,17.48602319,11.34,26.83,6.995422762,3.18,14.99,12.7576405,6.01,25.1
E02000064,60.2217252,54.7,65.99,20.38187924,13.38,30.7,8.50877585,3.91,17.9,13.4833122,6.38,26.32
E02000065,58.17874763,52.6,64.06,18.79413836,12.26,28.6,7.771006722,3.55,16.5,12.9611364,6.11,25.45
E02000066,62.63242263,57.21,68.23,22.338301,14.79,33.23,9.703335251,4.49,20.13,13.0177936,6.14,25.54
E02000067,57.75300209,52.16,63.66,18.68010625,12.18,28.44,7.570110628,3.46,16.11,13.6109541,6.45,26.53
E02000068,59.37093386,53.82,65.19,19.69390943,12.89,29.79,8.164779481,3.74,17.25,13.8914882,6.59,26.99
E02000069,53.56856283,47.92,59.65,16.70582355,10.8,25.76,6.495415885,2.95,14.01,11.8562851,5.56,23.57
E02000070,50.82455674,45.19,56.98,15.12056657,9.71,23.56,5.654861334,2.55,12.32,11.0347896,5.15,22.14
E02000071,53.06875393,47.42,59.17,16.20718244,10.45,25.08,6.256889853,2.83,13.53,12.2912472,5.77,24.31
E02000072,62.77350126,57.36,68.36,21.99308225,14.54,32.79,9.52380799,4.4,19.8,14.0249188,6.66,27.21
E02000073,49.71754826,44.09,55.89,14.36352701,9.19,22.49,5.252145784,2.37,11.5,10.8985863,5.08,21.9
E02000074,58.44904715,52.88,64.32,19.96505182,13.09,30.15,8.340670613,3.83,17.59,12.2686739,5.76,24.27
E02000075,48.874325,43.26,55.06,14.22646428,9.1,22.3,5.164921615,2.33,11.33,10.0608695,4.66,20.41
E02000077,51.47068576,45.83,57.61,15.24365949,9.79,23.73,5.739824451,2.59,12.5,11.6567198,5.46,23.22
E02000078,50.00601119,44.38,56.17,14.41270872,9.23,22.56,5.274317575,2.38,11.55,11.2341096,5.24,22.49
E02000079,50.87605609,45.24,57.03,15.04524779,9.66,23.46,5.564422661,2.51,12.14,11.0788014,5.17,22.21
E02000080,51.26272442,45.62,57.41,15.12022712,9.71,23.56,5.644693583,2.55,12.3,11.6540412,5.45,23.22
E02000081,52.0507808,46.41,58.18,16.1265012,10.4,24.96,6.209897448,2.81,13.44,10.7294096,4.99,21.6
E02000082,50.01161349,44.38,56.18,14.16387136,9.06,22.21,5.135331261,2.31,11.26,11.7587677,5.51,23.4
E02000083,55.38010824,49.75,61.4,17.32873845,11.23,26.62,6.876421498,3.13,14.76,12.7656006,6.01,25.12
E02000084,49.81262072,44.19,55.98,14.33113579,9.17,22.45,5.221640327,2.35,11.44,10.8614446,5.06,21.83
E02000085,51.01608445,45.38,57.17,15.03174679,9.65,23.44,5.590105709,2.52,12.19,11.9510893,5.6,23.73
E02000086,49.29770342,43.68,55.47,14.18350407,9.07,22.24,5.12894282,2.31,11.25,11.1283065,5.19,22.3
E02000087,49.50102753,43.88,55.68,14.39866236,9.22,22.54,5.245373119,2.36,11.49,10.2312071,4.75,20.71
E02000088,49.70535432,44.08,55.88,14.33502405,9.17,22.45,5.222064014,2.35,11.44,11.0491482,5.15,22.16
E02000089,49.63641794,44.01,55.81,14.49153183,9.28,22.68,5.317378777,2.4,11.64,10.6491876,4.95,21.46
E02000090,53.62353947,47.98,59.7,16.92957611,10.95,26.07,6.568194345,2.98,14.15,12.354489,5.81,24.42
E02000091,52.61423349,46.97,58.73,16.78317171,10.85,25.87,6.534812058,2.97,14.09,10.8737301,5.07,21.85
E02000092,57.72816902,52.14,63.64,19.75798167,12.94,29.88,8.209017479,3.76,17.34,12.0472811,5.65,23.89
E02000093,53.99759511,48.36,60.07,16.41145518,10.6,25.36,6.358761127,2.88,13.74,11.7617628,5.51,23.4
E02000094,55.49672606,49.87,61.51,17.31080563,11.22,26.59,6.882813451,3.13,14.77,12.4155938,5.84,24.52
E02000095,54.34439468,48.7,60.4,16.73416776,10.82,25.8,6.521623285,2.96,14.06,11.471648,5.36,22.9
E02000096,50.27514732,44.64,56.44,14.67256662,9.4,22.93,5.347286669,2.41,11.7,9.8916933,4.58,20.1
E02000097,54.28410758,48.64,60.34,16.63057093,10.75,25.66,6.487573423,2.94,13.99,11.9719348,5.61,23.76
E02000098,55.95984909,50.34,61.95,17.72875692,11.51,27.16,7.118910903,3.24,15.24,11.9976841,5.63,23.81
E02000099,56.63963208,51.03,62.6,17.76262697,11.53,27.21,7.11913955,3.24,15.24,12.6049291,5.93,24.84
E02000100,54.76617906,49.13,60.81,17.34595866,11.24,26.64,6.846900479,3.11,14.7,13.2122807,6.24,25.87
E02000101,59.39750779,53.85,65.21,19.99582661,13.11,30.19,8.4186531,3.86,17.73,12.1861059,5.72,24.13
E02000102,58.90767719,53.35,64.75,19.53420183,12.78,29.58,8.176403184,3.75,17.27,13.2500413,6.26,25.93
E02000103,58.67118151,53.1,64.53,19.59420366,12.82,29.66,8.172471277,3.74,17.27,12.7972755,6.03,25.17
E02000104,54.68592337,49.05,60.73,17.01224654,11.01,26.18,6.643058264,3.02,14.3,11.6852435,5.47,23.27
E02000105,56.44874411,50.83,62.42,17.49135614,11.35,26.84,7.024980353,3.2,15.05,12.1433537,5.7,24.06
E02000106,58.58477167,53.02,64.45,19.03706989,12.43,28.92,7.848358031,3.59,16.65,13.3309676,6.3,26.07
E02000107,59.87515754,54.34,65.66,19.6198074,12.84,29.69,8.112501341,3.72,17.15,14.2673079,6.78,27.61
E02000108,55.68206283,50.06,61.69,17.32379772,11.23,26.61,6.891606467,3.13,14.79,12.1248369,5.69,24.03
E02000109,58.77246529,53.21,64.62,18.68622497,12.18,28.45,7.603745806,3.47,16.18,15.1825493,7.26,29.09
E02000110,58.65738883,53.09,64.51,19.41453792,12.7,29.42,7.906078563,3.62,16.76,13.7416499,6.51,26.75
E02000111,55.53503665,49.91,61.54,16.87379953,10.92,25.99,6.692261566,3.04,14.4,11.657088,5.46,23.22
E02000112,55.81281574,50.19,61.81,17.09124103,11.07,26.29,6.762524306,3.07,14.54,12.4522928,5.86,24.59
E02000113,66.4292153,61.22,71.72,25.19654819,16.9,36.82,11.46140244,5.36,23.29,13.8339031,6.56,26.9
E02000114,61.53917167,56.07,67.22,20.76942067,13.66,31.2,8.654347671,3.98,18.18,15.2790653,7.31,29.25
E02000115,60.94668094,55.45,66.66,20.90599226,13.76,31.38,8.645680682,3.97,18.16,13.8580087,6.57,26.94
E02000116,63.55052664,58.17,69.08,22.03560491,14.57,32.84,9.510987007,4.39,19.77,14.815786,7.07,28.5
E02000117,64.92904582,59.63,70.35,23.83567724,15.89,35.13,10.5661607,4.91,21.7,13.7427261,6.51,26.75
E02000118,56.47853077,50.86,62.45,17.66274156,11.46,27.07,7.105729053,3.24,15.21,12.6734551,5.97,24.96
E02000119,68.96880789,63.94,74.01,26.66227308,18,38.62,12.27208856,5.76,24.7,14.113452,6.7,27.36
E02000120,60.48020145,54.97,66.23,20.56079342,13.51,30.93,8.5244644,3.91,17.93,13.4062102,6.34,26.19
E02000121,55.33240162,49.7,61.35,16.71416767,10.81,25.77,6.546194242,2.97,14.11,12.4170568,5.84,24.53
E02000122,55.43784877,49.81,61.45,17.85815763,11.6,27.34,7.149195682,3.26,15.29,11.7664512,5.51,23.41
E02000123,63.48443469,58.1,69.02,22.21318371,14.7,33.07,9.687998449,4.48,20.1,14.073457,6.68,27.29
E02000124,58.83326858,53.27,64.68,19.50265207,12.76,29.54,8.013864208,3.67,16.96,12.8415751,6.05,25.24
E02000125,57.4737814,51.88,63.39,18.86907372,12.31,28.7,7.675803339,3.51,16.32,12.3487152,5.8,24.41
E02000126,69.13508733,64.12,74.16,27.1451492,18.36,39.2,12.32699918,5.79,24.8,13.7769067,6.53,26.81
E02000127,59.20861356,53.66,65.03,20.36163047,13.37,30.67,8.496267451,3.9,17.88,12.3350548,5.8,24.39
E02000128,52.271923,46.63,58.39,15.84936924,10.21,24.58,6.058250526,2.74,13.14,10.9926124,5.12,22.06
E02000130,55.51069758,49.88,61.52,17.72891413,11.51,27.16,7.070312776,3.22,15.14,11.4793049,5.37,22.91
E02000131,61.70664858,56.24,67.37,21.06012262,13.87,31.58,8.730683369,4.01,18.32,13.8885767,6.59,26.99
E02000132,56.84401542,51.24,62.8,18.40011865,11.98,28.07,7.351315861,3.35,15.69,12.0624291,5.66,23.92
E02000133,48.65721405,43.05,54.84,13.78468627,8.8,21.67,4.932310529,2.22,10.85,9.0626227,4.18,18.59
E02000134,55.70202737,50.08,61.7,17.50654107,11.36,26.86,6.904322574,3.14,14.82,12.1516327,5.7,24.07
E02000135,65.82775572,60.58,71.17,24.72186099,16.54,36.23,10.81495806,5.03,22.14,13.881137,6.59,26.98
E02000136,52.71954437,47.07,58.83,16.93657363,10.96,26.08,6.66622237,3.03,14.35,10.5143122,4.89,21.22
E02000137,51.55403389,45.91,57.69,15.42404746,9.92,23.99,5.794595121,2.62,12.61,10.4411829,4.85,21.09
E02000138,50.38762288,44.76,56.55,14.87179711,9.54,23.21,5.466889899,2.47,11.94,9.5979339,4.44,19.57
E02000139,53.30756275,47.66,59.4,16.02457242,10.33,24.82,6.147375458,2.78,13.32,11.1719003,5.21,22.38
E02000140,61.3383566,55.86,67.03,21.82011551,14.42,32.57,9.417882428,4.35,19.6,13.1092725,6.19,25.69
E02000141,55.0376786,49.4,61.07,17.20637009,11.15,26.45,6.785605996,3.08,14.58,12.0260049,5.64,23.86
E02000142,50.99557496,45.36,57.15,14.97314436,9.61,23.35,5.586002212,2.52,12.18,10.3754373,4.82,20.97
E02000144,52.83393987,47.19,58.94,15.51254549,9.98,24.11,5.86258581,2.65,12.74,11.543829,5.4,23.02
E02000145,60.38842176,54.87,66.14,21.06980909,13.88,31.6,8.968764632,4.13,18.77,12.8961932,6.08,25.34
E02000146,51.99006082,46.35,58.12,15.25349253,9.8,23.75,5.729497046,2.59,12.47,11.1693674,5.21,22.37
E02000147,48.58849126,42.98,54.77,13.96972017,8.93,21.93,5.02050585,2.26,11.03,9.5543578,4.42,19.49
E02000148,49.16265258,43.55,55.34,14.37350741,9.2,22.51,5.254754345,2.37,11.51,9.5233392,4.4,19.44
E02000149,54.93919378,49.3,60.97,17.72285527,11.51,27.15,7.089497267,3.23,15.18,11.6985176,5.48,23.29
E02000150,50.70215803,45.07,56.86,15.08441942,9.68,23.51,5.652144531,2.55,12.32,10.7512994,5,21.64
E02000151,47.53102984,41.95,53.72,13.19653629,8.41,20.83,4.622325784,2.07,10.21,8.8326173,4.06,18.17
E02000152,57.28370114,51.68,63.21,19.17970127,12.53,29.11,7.892605397,3.61,16.73,11.9375457,5.6,23.7
E02000153,48.60555307,43,54.79,14.06522181,8.99,22.07,5.079765629,2.29,11.15,9.9593705,4.61,20.22
E02000154,51.10763906,45.47,57.25,15.242966,9.79,23.73,5.715991522,2.58,12.45,10.4977792,4.88,21.19
E02000155,50.13203112,44.5,56.3,15.34696511,9.86,23.88,5.755398218,2.6,12.53,9.8656784,4.57,20.06
E02000156,48.55203306,42.95,54.74,14.24407144,9.11,22.32,5.156373821,2.32,11.31,9.6165678,4.45,19.61
E02000157,48.02163654,42.43,54.21,13.81110948,8.82,21.71,4.925221887,2.21,10.83,9.2491347,4.27,18.94
E02000158,53.75893742,48.12,59.83,17.44135896,11.31,26.77,7.027309451,3.2,15.06,10.0903262,4.68,20.46
E02000159,48.55237891,42.95,54.74,14.23070406,9.1,22.31,5.145301005,2.32,11.29,9.5532913,4.42,19.49
E02000160,48.95881216,43.35,55.14,14.33635609,9.18,22.46,5.210674247,2.35,11.42,10.082268,4.67,20.45
E02000161,48.67594261,43.07,54.86,13.67755178,8.73,21.52,4.889404824,2.2,10.76,9.6249903,4.45,19.62
E02000162,51.35419972,45.71,57.5,16.35822097,10.56,25.28,6.340951231,2.87,13.7,9.3419812,4.31,19.11
E02000163,48.84210701,43.23,55.02,14.24445261,9.11,22.33,5.179686232,2.33,11.36,9.2412662,4.26,18.92
E02000165,49.97029803,44.34,56.14,14.46957905,9.27,22.64,5.303783043,2.39,11.61,11.289761,5.27,22.58
E02000166,57.79613762,52.21,63.7,20.50857569,13.48,30.86,8.592896064,3.95,18.06,10.3445041,4.8,20.91
E02000167,53.28647143,47.64,59.38,16.19778,10.45,25.06,6.29905349,2.85,13.62,9.5651608,4.42,19.51
E02000168,59.20284387,53.65,65.03,20.42334819,13.41,30.75,8.388653259,3.85,17.68,12.0392572,5.65,23.88
E02000169,54.93204117,49.3,60.97,16.99533044,11,26.16,6.769045649,3.08,14.55,11.0529454,5.15,22.17
E02000170,57.33927987,51.74,63.27,18.33064858,11.93,27.97,7.276855026,3.32,15.54,12.8281727,6.05,25.22
E02000171,58.59322522,53.02,64.45,19.82951634,12.99,29.97,8.13126506,3.72,17.19,11.714757,5.48,23.32
E02000172,67.25723628,62.1,72.47,25.76288122,17.32,37.52,11.44036309,5.34,23.25,14.3489121,6.83,27.74
E02000173,58.06560603,52.48,63.95,18.60416802,12.12,28.34,7.561874661,3.45,16.1,11.7713734,5.51,23.42
E02000174,64.62967098,59.31,70.07,24.0307996,16.03,35.37,10.3847651,4.82,21.37,14.6650106,6.99,28.26
E02000175,61.57178437,56.1,67.25,21.08984125,13.89,31.62,8.598238782,3.95,18.07,14.3041884,6.8,27.67
E02000176,56.02598223,50.4,62.01,17.29578211,11.21,26.57,6.95978735,3.17,14.92,10.8574035,5.06,21.82
E02000177,65.86842504,60.62,71.21,24.94629797,16.71,36.51,10.95197377,5.1,22.39,14.0069522,6.65,27.18
E02000178,63.97886509,58.62,69.47,23.02222807,15.29,34.1,9.680753637,4.48,20.09,14.4829183,6.9,27.96
E02000179,60.6760357,55.17,66.41,21.20463297,13.97,31.77,8.921879028,4.11,18.68,11.6681497,5.46,23.24
E02000180,65.51466646,60.25,70.88,24.04411918,16.04,35.39,10.39268838,4.82,21.38,16.2544641,7.82,30.79
E02000181,58.88590011,53.32,64.73,19.31505669,12.63,29.29,7.756721588,3.55,16.47,12.7904225,6.03,25.16
E02000182,58.89652853,53.34,64.74,19.44392313,12.72,29.46,8.009004445,3.67,16.96,12.0295206,5.64,23.86
E02000183,58.90200148,53.34,64.75,20.37514604,13.38,30.69,8.467600719,3.89,17.83,11.0768044,5.17,22.21
E02000184,68.4116828,63.34,73.51,25.82282526,17.37,37.59,11.49864524,5.37,23.35,17.0374399,8.24,32
E02000185,64.52488265,59.2,69.98,23.84219598,15.89,35.14,10.36299269,4.81,21.33,12.8057006,6.04,25.18
E02000186,63.59136957,58.22,69.12,22.51660422,14.92,33.46,9.507031754,4.39,19.77,15.5613397,7.46,29.7
E02000187,71.21797538,66.37,76.02,27.79893051,18.86,39.98,12.90383362,6.08,25.79,16.3521268,7.88,30.94
E02000188,70.64321336,65.75,75.51,27.54568153,18.67,39.68,12.69944975,5.98,25.44,17.7243994,8.61,33.05
E02000189,70.59162541,65.69,75.47,27.57453521,18.69,39.71,12.50832415,5.88,25.11,16.9006999,8.17,31.79
E02000190,69.20846289,64.19,74.23,26.9459861,18.21,38.96,12.17825397,5.71,24.54,17.9519868,8.73,33.4
E02000191,67.98900869,62.88,73.13,24.79008048,16.59,36.32,10.92575693,5.09,22.34,20.734994,10.27,37.48
E02000192,66.57830599,61.38,71.85,25.20871544,16.91,36.84,11.11110493,5.18,22.67,14.3067227,6.8,27.68
E02000193,64.18198396,58.84,69.66,23.14556328,15.38,34.26,9.968052692,4.62,20.61,15.5848731,7.47,29.73
E02000194,59.11202347,53.56,64.94,19.93568154,13.07,30.11,8.198124111,3.76,17.32,12.6613269,5.96,24.94
E02000195,52.3537649,46.71,58.47,15.70887658,10.11,24.38,5.979710999,2.7,12.98,11.2838135,5.27,22.57
E02000196,55.88815393,50.26,61.88,18.05332576,11.74,27.6,7.242919693,3.3,15.48,12.2985846,5.78,24.32
E02000197,56.4162488,50.8,62.39,18.21425511,11.85,27.82,7.348582113,3.35,15.68,12.0053909,5.63,23.82
E02000198,58.70660545,53.14,64.56,19.66948589,12.88,29.76,8.182974772,3.75,17.29,12.9471104,6.11,25.42
E02000199,55.38992787,49.76,61.41,17.57002555,11.4,26.94,7.056938499,3.21,15.11,12.2355066,5.75,24.22
E02000200,56.38168433,50.77,62.35,18.06969351,11.75,27.62,7.322027733,3.34,15.63,12.1566152,5.71,24.08
E02000201,60.91762038,55.42,66.64,20.95328028,13.79,31.44,8.805502532,4.05,18.46,13.7649874,6.53,26.79
E02000202,53.32071263,47.68,59.41,16.2898339,10.51,25.19,6.297081546,2.85,13.61,11.6720794,5.46,23.25
E02000203,57.77926854,52.19,63.68,19.05718931,12.44,28.95,7.856214286,3.59,16.66,12.5269986,5.89,24.71
E02000204,54.70086911,49.06,60.74,16.96171028,10.98,26.11,6.672057765,3.03,14.36,12.3733306,5.82,24.45
E02000206,59.93107667,54.4,65.71,20.46391598,13.44,30.81,8.572412294,3.94,18.02,13.0514655,6.16,25.6
E02000207,59.57490925,54.03,65.38,20.4042983,13.4,30.73,8.528697251,3.92,17.94,13.2680449,6.27,25.96
E02000208,61.48257255,56.01,67.16,21.04886293,13.86,31.57,8.963305797,4.13,18.76,13.6997799,6.49,26.68
E02000209,57.02005259,51.41,62.96,18.19447415,11.84,27.79,7.405262699,3.38,15.79,12.8282172,6.05,25.22
E02000210,55.17075277,49.54,61.19,17.19947227,11.14,26.44,6.814076174,3.1,14.64,12.4666775,5.86,24.61
E02000211,49.93487615,44.31,56.1,15.00633684,9.63,23.4,5.562309102,2.51,12.14,10.1765445,4.72,20.61
E02000212,59.31802342,53.77,65.14,19.47333738,12.74,29.5,8.153304054,3.74,17.23,12.9873302,6.13,25.49
E02000213,62.54317889,57.12,68.15,21.45330249,14.15,32.09,9.154577394,4.22,19.11,14.322239,6.81,27.7
E02000214,50.54510759,44.91,56.7,15.07216106,9.68,23.49,5.629144322,2.54,12.27,10.5809139,4.92,21.33
E02000215,58.38639498,52.81,64.26,18.87598129,12.32,28.7,7.657625247,3.5,16.28,13.3503862,6.31,26.1
E02000216,54.04920534,48.41,60.12,16.66523518,10.77,25.71,6.474945167,2.94,13.97,10.1469959,4.71,20.56
E02000217,59.74304493,54.21,65.54,19.61098478,12.84,29.68,8.050767274,3.69,17.04,14.356271,6.83,27.76
E02000218,57.84971846,52.26,63.75,20.07510903,13.17,30.29,8.556520384,3.93,17.99,11.6117004,5.43,23.14
E02000219,47.7053137,42.12,53.89,14.09748891,9.01,22.12,5.05288413,2.27,11.1,9.1323119,4.21,18.72
E02000220,60.56640085,55.06,66.31,20.07243679,13.16,30.29,8.18975034,3.75,17.3,14.7612275,7.04,28.41
E02000221,60.21541004,54.7,65.98,20.8860409,13.75,31.36,8.852615076,4.07,18.55,12.9180787,6.09,25.37
E02000222,54.60046777,48.96,60.65,16.78720128,10.86,25.88,6.535404679,2.97,14.09,12.0102828,5.63,23.83
E02000223,67.49085009,62.35,72.68,26.05595737,17.54,37.88,11.83420586,5.54,23.94,13.9686026,6.63,27.12
E02000224,54.4912134,48.85,60.54,16.50818781,10.66,25.49,6.3924574,2.9,13.8,12.6109272,5.94,24.85
E02000225,59.251408,53.7,65.07,20.80265629,13.69,31.25,8.89529673,4.09,18.63,12.2651633,5.76,24.27
E02000226,48.60783522,43,54.79,14.06246112,8.99,22.07,5.046459965,2.27,11.08,10.1312884,4.7,20.53
E02000227,52.7028465,47.06,58.81,16.53407305,10.68,25.53,6.391241235,2.9,13.8,11.2948727,5.27,22.59
E02000228,47.58541947,42,53.77,13.56028433,8.65,21.35,4.800533826,2.16,10.57,8.7633064,4.03,18.04
E02000229,61.6457092,56.18,67.32,22.43817986,14.87,33.36,9.729386792,4.5,20.18,12.3749294,5.82,24.45
E02000230,51.78033754,46.14,57.91,15.57801097,10.02,24.2,5.881911911,2.66,12.78,10.7907742,5.02,21.71
E02000231,48.22366316,42.63,54.41,13.89386271,8.88,21.83,4.967776033,2.23,10.92,9.4735394,4.38,19.35
E02000232,50.47048253,44.84,56.63,15.47026527,9.95,24.05,5.862905467,2.65,12.74,10.0263308,4.65,20.34
E02000233,53.18756359,47.54,59.28,16.25533523,10.49,25.14,6.287391434,2.85,13.59,11.2857362,5.27,22.58
E02000234,52.92431174,47.28,59.03,16.34802597,10.55,25.27,6.3456609,2.88,13.71,10.9860213,5.12,22.05
