MSOA_code,LowFruit ,LowFruitLCI,LowFruitUCI,LowVeg,LowVegLCI,LowVegUCI,LowFV,LowFVLCI,LowFVUCI,HighSSB,HighSSBLCI,HighSSBUCI
E02003348,47.09099065,41.52,53.28,13.39665426,8.54,21.11,4.678058199,2.1,10.32,9.1038659,4.2,18.67
E02003349,49.96312185,44.34,56.13,14.87143496,9.54,23.21,5.474483942,2.47,11.96,10.4968404,4.88,21.19
E02003350,51.95771256,46.31,58.09,15.96974235,10.29,24.75,6.154096717,2.79,13.33,10.8921247,5.07,21.89
E02003351,51.327031,45.69,57.47,15.23249796,9.79,23.72,5.693792826,2.57,12.4,11.581302,5.42,23.09
E02003352,47.72472298,42.14,53.91,13.71795824,8.76,21.58,4.869662077,2.19,10.72,8.5482674,3.93,17.64
E02003353,51.49289659,45.85,57.63,15.12706108,9.71,23.57,5.677673326,2.56,12.37,10.891239,5.07,21.88
E02003354,51.60140581,45.96,57.74,15.17147575,9.74,23.63,5.742395159,2.59,12.5,10.8099114,5.03,21.74
E02003355,58.99822889,53.44,64.84,19.91005729,13.05,30.08,8.344650161,3.83,17.59,12.5798408,5.92,24.8
E02003356,50.59267918,44.96,56.75,15.01323966,9.64,23.41,5.59740501,2.53,12.21,10.594892,4.93,21.36
E02003357,58.30854392,52.73,64.18,19.15252419,12.51,29.07,7.877251956,3.6,16.7,12.7820974,6.02,25.14
E02003358,58.64871249,53.08,64.51,19.38729475,12.68,29.39,8.017120157,3.67,16.97,13.0224848,6.15,25.55
E02003359,55.4489047,49.82,61.46,17.08108289,11.06,26.28,6.705542579,3.05,14.42,12.7028894,5.98,25.01
E02003360,55.74247963,50.12,61.74,17.36825866,11.26,26.67,6.959334309,3.17,14.92,12.3459088,5.8,24.4
E02003361,55.33419277,49.7,61.35,17.55253496,11.39,26.92,7.024537763,3.2,15.05,11.9912412,5.62,23.8
E02003362,54.26160137,48.62,60.32,16.8754571,10.92,26,6.632968613,3.01,14.28,11.6247309,5.44,23.16
E02003363,52.00058525,46.36,58.13,16.17427937,10.43,25.03,6.186702283,2.8,13.39,11.6462039,5.45,23.2
E02003364,52.07771775,46.43,58.2,15.58334656,10.03,24.21,5.951588635,2.69,12.92,11.568658,5.41,23.07
E02003365,50.22929157,44.6,56.39,14.77587764,9.47,23.08,5.486444618,2.47,11.98,9.9985856,4.63,20.3
E02003366,54.50224408,48.86,60.55,16.61084382,10.73,25.63,6.438078151,2.92,13.89,14.1412198,6.72,27.4
E02003367,52.58176702,46.94,58.69,16.40452006,10.59,25.35,6.479043302,2.94,13.98,9.7460174,4.51,19.84
E02003368,53.24614418,47.6,59.34,17.07181899,11.05,26.27,6.808597334,3.09,14.63,9.5470436,4.41,19.48
E02003369,49.80846007,44.18,55.98,14.81594463,9.5,23.13,5.50763353,2.48,12.03,9.1949285,4.24,18.84
E02003370,48.46321088,42.86,54.65,14.05921277,8.99,22.06,5.078104537,2.28,11.15,9.3379995,4.31,19.1
E02003371,47.6771838,42.09,53.87,13.52304344,8.63,21.3,4.764891463,2.14,10.5,9.7773315,4.52,19.9
E02003372,50.44050571,44.81,56.6,15.2207633,9.78,23.7,5.739162977,2.59,12.49,10.3288428,4.8,20.89
