MSOA11CD,Asian,Black,Mixed,White,Other,Female,Popudensity,Age17_29,Age30_39,Age40_49,Age50_59,Age60_69,Age70_79,Age80,Childrenemerg,Alcohol,HighSSB,COPDprev,OBprev,IMDdecile,DMprev
E02006026,0.962842419311093,0.6509357200976403,-0.052050150756639574,97.30132899376189,-1.9979602998119532,50.6230738308991,0.705201914875575,2.4208593206940634,10.196971727187458,10.987538523382018,15.891732547233016,15.28875787216937,12.555272678547505,5.775157443387378,4.73707525686803,4.484131857611035,2.228125111199892,2.03,12.44,6,7.3
E02006027,0.6784011734506784,0.0916758342500916,-0.19227188764712286,98.2214888155482,-1.696349284423397,51.74637291778613,0.6581256761888838,2.3355309071858303,9.2244313093319,9.940891993551851,16.24574601468744,16.33530360021494,13.720222102812109,8.45423607379545,4.671893818030999,4.215086179918229,2.1359726907748264,2.03,11.73,6,7.53
E02006028,1.8459969403365628,0.2447730749617542,-0.04218277037235136,96.73635900050994,-1.5409551149189324,50.95893161964052,0.5585132559198697,2.442971139331137,9.739933728285973,11.527261773270409,16.206446430364494,13.896977608193597,12.25022592629782,8.042976202429964,5.242275975664412,4.594109238628667,2.2449239881202456,1.65,10.81,6,6.68
E02006029,1.1485826001955035,0.1221896383186705,0.5224875635138335,96.4442815249267,-0.5129458235327444,50.73458574181118,19.278621102811123,2.7438499714290643,13.776493256262045,11.476396917148362,13.17437379576108,10.452793834296724,7.9359344894026975,4.359344894026975,5.281171207713066,4.879767018891217,2.4996923423715574,1.75,11.81,3,7.19
E02006030,0.9234828496042216,0.3518029903254178,0.17171137768193898,97.13060686015832,-0.8995019367980561,48.766974470396526,22.84368634292488,2.8441132406485123,16.577946768060837,11.873981531776208,13.720803910917978,9.907658881042911,6.811515480717002,4.193373166757198,5.456175451163617,4.886582645426277,2.496942650653216,1.69,11.0,5,6.96
E02006031,2.400703871292107,0.3645047762694821,0.6473690668605049,94.51985922574156,-0.2176283706260997,51.50375939849624,38.25375531588197,2.7688222394443045,15.95238095238095,11.741854636591478,14.511278195488725,12.493734335839598,8.24561403508772,5.050125313283208,5.078916801512661,4.865224091322398,2.5220296916099287,1.7,13.24,5,7.04
E02006032,1.0167533217793183,0.2310803004043905,0.7810247334374242,96.11785095320624,-0.7971606354925719,50.93425605536333,28.109917123074304,2.5971637445048867,12.987312572087658,11.199538638985006,14.925028835063436,12.21453287197232,9.365628604382929,5.132641291810842,5.428468051013081,4.802380355275797,2.4250249576601157,1.57,12.26,4,7.35
E02006033,2.9688972667295004,0.7186616399622997,0.688660220617346,93.39066918001885,-0.07179064183870629,50.199577365578776,27.495353367983142,2.7799867412729036,13.289504578539562,11.833763794317916,13.583000704390702,13.547781169288564,11.270251232683728,8.077013383423338,5.098646171418969,4.623991940228679,2.415017930720833,1.5,11.59,7,6.67
E02006034,5.806209548822812,0.984898227183191,0.4841142785353953,91.051496107307,-0.6261260481278337,51.233028539761705,21.25557323334509,2.5870755995645607,12.838274683661217,12.736676826452388,14.002031957144176,11.99778331947908,9.90117299344232,5.366214094393645,5.355642433167306,4.673762977453703,2.3236940431494504,1.38,9.34,8,6.27
E02006035,1.5014502644599896,0.2047432178809077,0.27290009136534604,96.5534891656714,-0.8520295056201372,52.53760952223509,17.062195222709946,2.371412634233452,9.356918498925443,11.07621094395768,14.56439080839808,14.167631013390643,15.60588527029261,10.034716482063152,5.342334251964811,4.601162164590552,2.082140408958956,1.54,11.95,8,6.98
E02006036,1.7338403041825097,0.3802281368821292,0.6424540662444272,95.65019011406844,-1.094817217699558,51.25281531531532,23.547910284553662,2.581572380524348,14.442567567567568,11.852477477477477,13.85135135135135,13.386824324324326,11.275337837837837,6.559684684684684,5.216022123821206,4.634728988229636,2.3258856737428717,1.42,11.73,7,6.32
E02006037,2.2768304914744237,0.4212637913741223,0.29567412298311885,95.42627883650952,-0.6318737634156708,51.01096469168092,22.79911026350617,2.5654676665478036,10.139824967307112,11.809677094859673,15.03872849813902,12.383060054320492,10.85403882909164,6.568755658384469,5.19295685089021,4.499809670330265,2.370696227865495,1.44,10.85,8,6.32
E02006038,0.4155782474471622,0.2612206126810734,0.1816880941074778,97.70838280693422,-0.878084361244368,50.52916274694261,1.1547092678746385,2.4016937451745703,12.699905926622764,11.253527751646285,14.16980244590781,13.358419567262464,12.323612417685794,7.102539981185324,5.359412465907847,4.5031374604229395,2.195216061618284,1.31,10.23,8,6.73
E02006039,0.5707346690953248,0.1214329083181542,0.007862151172948579,98.12993321190042,-1.7719211270083908,51.453733864157314,1.0561603736452465,2.385990830004903,10.411388587284351,9.699601882012306,14.718301363252504,15.21293280250935,13.7411026661841,7.672819399203765,5.125153747538848,4.547541073151455,2.225037195691518,2.26,11.83,7,7.38
E02006040,3.3012202954399488,0.3211303789338471,0.11112422037457655,95.09312780989082,-1.7898345408184708,51.10747545935062,0.3330966341782516,2.5112778921440575,8.708784293984396,10.860810470677071,17.191039516737984,15.630505914925749,13.843443241882708,5.977850490812988,5.096201182425903,4.390738575275903,2.289128741025331,1.33,10.42,6,6.59
E02006041,0.6548672566371682,0.2831858407079646,-0.3206685714480874,98.21238938053098,-2.088330489097082,51.18082481494537,0.2532885897673106,2.3749795277866514,9.182234755022913,8.741628480789567,15.879450123369756,19.03419104688051,14.698625308424392,8.107155445893548,5.049856007249537,4.513054897080286,2.1861488899512973,1.92,11.54,4,7.05
E02006042,0.7127955493741307,0.1216968011126564,-0.16031241530216456,98.15716272600834,-1.854908136076572,52.97020976555614,0.6689846634243228,2.162206002704214,6.363476114930372,8.284858099770846,14.630706857042131,18.15617838885951,18.56160761501851,14.17239555790587,5.053694783556702,4.541164856012179,1.9803932977611254,1.58,10.34,7,6.59
E02006043,1.7415897588568028,0.2232807383149747,-0.0026829647931805264,96.57636201250372,-0.7733883796990004,51.45457257944204,0.2755498486965573,2.3865334516387917,9.950768312695809,9.42861405340892,16.514993286588094,17.007310159630016,14.217514545725797,6.131582873340295,5.298317366548036,4.370712874773608,2.188786431665611,2.15,12.48,4,7.63
E02006044,0.7042253521126761,0.1801506714706846,-0.051413976760312445,98.03471994759254,-2.032415445626896,49.97577128089162,0.1813228649210056,2.2129123606720422,6.977871103214343,8.415441770311743,16.89549345824584,19.156840575028266,17.848489743175577,9.6268777257309,4.898585790287632,4.248495242049359,2.10813164146592,1.79,10.47,5,6.93
