MSOA11CD,asianr,blackr,mixedr,whiter,otherr,femaler,popudensity,Age17_29r,Age30_39r,Age40_49r,Age50_59r,Age60_69r,Age70_79r,Age80r,LowFV,HighSSB,childrenemerg,alcohol,copdprev,obprev,Imdscore,Imdrank,Imddecile,Imdquintile,prevalence
E02000030,19.016913319238903,5.221987315010571,4.608879492600423,65.07399577167018,6.078224101479916,50.878121032585696,6.484007351550427,12.85442234447736,9.860347016504443,13.66906474820144,14.621244181125686,12.71688531527719,9.913245873889124,6.326703343207788,5.864879121,9.4039697,96.6,78.8,1.31,7.92,13.464058337801609,4532.0,7,4,6.62
E02000031,19.683149303888623,3.960633701392223,5.98895823331733,62.00192030724916,8.365338454152663,52.38887568338484,43.23975220840371,12.146422628951747,15.117661041121941,15.497979557879724,11.968148324221534,10.078440694081294,7.9272640836700745,6.63180413596387,5.971443671,10.0647262,80.9,75.4,1.27,6.58,8.982775245199614,5819.0,9,5,6.35
E02000032,20.91206853111615,3.5903250188964475,5.467372134038801,58.868732678256485,11.161501637692114,51.1969111969112,55.33575944830462,13.011583011583012,9.227799227799228,15.006435006435007,15.920205920205921,11.222651222651223,9.214929214929215,6.138996138996139,5.169468653,10.0092451,78.1,71.8,0.88,9.18,8.446300998573467,5955.0,9,5,7.04
E02000033,15.427864612616665,6.521983582593051,6.926796356685033,62.21747441808164,8.905881030023615,51.53541076487252,49.69907724102948,13.643059490084985,14.19830028328612,15.206798866855525,14.130311614730878,10.492917847025495,7.025495750708215,4.022662889518413,6.798787217,11.6400506,98.7,89.3,1.11,9.62,17.063479789497258,3623.0,6,3,7.15
E02000034,16.98756738915172,5.622180657938166,5.7212014523049834,64.25349323357905,7.415557267026076,52.158034528552456,58.40677982155516,14.231961044710047,13.789287295263392,15.770252324037184,13.41301460823373,9.705621956617973,7.525453740593183,4.282868525896414,6.352795471,10.8633798,78.6,80.3,1.12,7.3,12.823898695749945,4728.0,7,4,6.46
E02000035,22.245663384903892,4.453820909517113,4.676511954992968,59.50539146741678,9.118612283169245,51.46871008939975,66.04037985971554,13.375130616509928,16.45187507256473,16.19644723092999,12.411471032160687,9.04446766515732,8.382677348194589,5.677464298153953,6.696690269,11.107172,99.2,80.9,1.05,7.22,13.702045025078736,4478.0,7,4,6.63
E02000036,21.513696193525437,10.369975097829954,4.562433297758805,55.00711490572749,8.546780505158306,50.74007220216606,62.219218145875395,14.648014440433213,13.709386281588449,13.763537906137186,13.077617328519855,9.629963898916968,6.868231046931409,4.097472924187725,6.463791048,11.6807996,76.2,92.5,0.92,11.42,16.32370046042915,3792.0,6,3,8.04
E02000037,23.013749192580974,7.160653317338747,3.5618713666143766,55.688843775952755,10.57488234751315,51.644011756061715,25.143520020777398,14.483835415135928,12.73879500367377,13.721528288023514,11.416238060249816,9.560984570168992,7.678177810433505,4.821822189566495,6.702628236,10.7546133,83.0,71.2,0.89,12.78,11.128158463756177,5204.0,8,4,8.12
E02000038,18.464265721216645,7.296137339055794,6.363127449150961,60.02985631647696,7.846613174099645,51.40758873929009,60.201625202445136,14.320685434516525,13.727520949063177,15.685905281988513,14.038226155729216,10.648714810281518,6.854345165238677,4.5475943884756616,6.532373081,11.930584,105.7,86.7,1.06,8.15,15.568224800070306,3973.0,6,3,7.51
E02000039,15.848214285714285,7.603236607142858,4.645647321428571,63.71372767857143,8.189174107142858,50.215427380125085,33.85676153737775,14.246004169562196,13.509381514940932,14.384989576094508,12.967338429464906,10.326615705350937,7.769284225156358,4.503127171646977,5.606546083,10.8483853,82.2,74.7,0.98,9.37,10.702963094393187,5331.0,8,4,6.29
E02000040,19.748358862144418,9.409190371991247,6.061269146608315,54.835886214442006,9.945295404814004,51.71698308953211,18.67769509423662,15.686274509803921,16.619981325863677,15.26091918248781,11.28747795414462,8.37223778400249,6.442577030812324,3.7244527440605872,7.768123801,11.3750259,59.7,71.9,0.89,7.73,15.441477714748785,4001.0,6,3,6.43
E02000041,24.053310767928917,8.546646921937805,3.6915591284112543,53.38481066215358,10.323672519568436,51.66315789473684,70.33350266902261,15.705263157894736,14.778947368421052,14.378947368421052,11.621052631578948,9.589473684210526,6.684210526315789,4.610526315789474,6.580645129,11.6680723,92.1,94.1,0.87,12.41,18.284720521720836,3384.0,5,3,8.3
E02000042,26.0922225105978,5.095596504887967,5.7444415606886405,52.253655160481,10.81408426334458,50.75158571552698,95.11577939836914,14.406116951950649,16.404552958554174,16.126509688070207,12.911634373099314,8.767051872447649,6.82943783126249,4.544269701972369,6.752466768,11.7928577,90.7,88.0,0.95,7.57,15.162757182177877,4073.0,6,3,7.0
E02000043,27.843085457667417,3.3813234711398756,5.705983357548541,54.04834235900145,9.021265354642715,50.945420410352696,50.93881748974543,11.800992356175406,12.417862411157301,16.414107549953062,13.289526619283896,10.245407000134103,7.751106343033391,4.479013007912029,5.522602728,10.0215053,63.7,55.8,0.83,7.59,7.517256488549618,6166.0,10,5,7.01
E02000044,22.257407826283647,14.736484958154264,5.5191133227776525,48.50712508482244,8.979868807962,52.227751417659995,77.37882373978529,17.046638120587897,14.651082050688577,15.657909964124523,13.56324499479227,8.737414651082052,4.386066427496817,1.8863557458627471,8.414537355,12.4326108,102.6,90.8,1.07,9.07,23.627358342016905,2417.0,4,2,8.08
E02000045,14.728240212846828,10.062713797035348,7.6111744583808445,59.73014063093881,7.8677309007981755,51.83352735739232,59.04101927294512,14.454792394256888,13.63989134652697,16.695770275514164,14.639115250291034,9.157935584012417,5.5781916957702755,2.7066356228172292,7.988215427,12.5901269,85.1,84.8,1.1,8.91,19.816915232515562,3064.0,5,3,6.92
E02000046,21.51062607696726,3.4893739230327396,5.384836300976451,61.14302125215394,8.472142446869615,51.99885370396905,71.72010771549962,14.844533600802407,19.501361226536755,16.033815732913027,12.437311935807422,8.1100444189712,6.0323828628743374,3.9833787075512253,6.706091752,12.123506,74.5,68.8,0.76,7.32,12.421965949332606,4838.0,8,4,6.54
E02000047,26.716141001855288,16.181334193756555,6.025651367266274,42.534484149390984,8.542389287730904,51.99835863766926,86.4168367596815,16.80755026672138,15.56011489536315,15.51908083709479,12.384078785391875,8.009848173984407,4.513746409519902,2.716454657365613,8.480221174,12.9277997,87.9,106.9,0.99,8.61,26.343321425604387,2034.0,3,2,8.3
E02000048,18.6284046692607,7.081712062256809,4.620622568093386,56.91634241245136,12.752918287937742,52.21238938053098,33.12782483642619,13.595254303218903,14.15929203539823,14.84002722940776,11.91286589516678,9.734513274336283,7.974326558397355,5.329184090246037,5.915853505,10.8021933,81.2,66.1,0.8,7.07,12.822080798200139,4729.0,7,4,6.29
E02000049,22.407899734143562,23.6422331940752,6.7128750474743635,36.33687808583365,10.900113938473224,52.30874584230092,131.00302120470613,18.469966738407358,16.572099393465077,15.632948542359618,12.786147524946195,6.662101350029348,3.267462336137742,1.1445900997847778,11.35457911,13.7096338,83.2,109.4,1.13,8.05,35.91760942500828,973.0,2,1,7.96
E02000050,18.689156626506023,8.375903614457831,6.2457831325301205,58.159036144578316,8.53012048192771,51.25259926725418,47.61718380394792,15.754035052975542,14.585602534904446,15.278740469353401,14.298445390632736,8.901871472423013,6.614516288741459,3.1290226755124273,7.790053502,12.2169555,61.0,85.8,0.95,7.71,18.30702076350093,3377.0,5,3,7.18
E02000051,17.37278881851933,5.55798209215986,4.5315571085389825,60.79930115745796,11.73837082332387,52.65784334996746,63.87607174871813,13.885875461054459,14.721197656758516,14.753742677370363,12.486439574745065,8.906487307441962,9.188544152744631,6.877847689303536,6.422033335,11.12326,69.6,61.2,0.64,6.1,10.394447587719297,5418.0,8,4,6.2
E02000104,42.66293482606957,12.155137944822071,3.6785285885645744,30.681060908969744,10.822337731574038,49.54557604918471,67.4544625910971,18.5912857524726,16.14541566426089,13.271852445870088,12.56348569901096,10.625501202886928,6.722801390002673,4.530874097834803,6.643058264,11.6852435,76.8,98.8,0.55,9.46,23.181167785234898,2477.0,4,2,8.72
E02000105,49.817147501015846,13.256806176351077,3.7281592848435596,25.477448191791957,7.720438845997562,49.17548859934853,71.2575492050981,20.093648208469055,15.74714983713355,14.50529315960912,12.06229641693811,8.876221498371335,5.038680781758957,2.839983713355049,7.024980353,12.1433537,105.7,120.9,0.43,9.41,21.4174492812723,2776.0,5,3,9.63
E02000106,24.22954303931987,18.974012172736934,5.574340643416095,37.09786494058545,14.124239203941649,49.879610902436674,77.1350281393759,19.695656361359916,15.631320427622075,13.262062987575845,13.290956370991044,8.128671867475681,5.085235481074834,3.207165559086969,7.848358031,13.3309676,82.7,134.8,0.84,14.44,33.326787599188044,1191.0,2,1,9.09
E02000107,21.70216656001463,12.606271139957947,6.188865527013438,47.664320321784444,11.838376451229546,50.402144772117964,113.8438471066464,18.674308958121475,18.1750947582509,15.447906073772765,12.89636682998983,8.717759082925024,5.130812609780901,2.4036239253027643,8.112501341,14.2673079,76.9,116.6,0.86,10.13,25.179422019154728,2192.0,4,2,6.95
E02000108,46.84573002754821,14.40771349862259,3.774104683195592,26.377410468319557,8.59504132231405,50.1497005988024,91.12722997894925,20.781164942841592,15.936309199782253,14.126292868807838,11.976047904191617,8.49210669569951,5.375612411540556,2.980402830702232,6.891606467,12.1248369,95.4,130.2,0.5,9.23,20.698059812235012,2911.0,5,3,10.49
E02000110,20.572407045009786,12.879158512720156,7.693248532289629,48.92367906066536,9.931506849315069,51.07487027427724,100.1494519778073,19.409439090684458,16.123054114158634,14.047442550037065,13.540894489745488,8.660736347912033,6.103286384976526,4.077094143810229,7.906078563,13.7416499,84.9,99.6,0.69,10.17,20.8727315428301,2877.0,5,3,6.8
E02000111,65.22201542143047,10.165736063103784,2.587964193920057,15.39484179739431,6.629442524151378,48.520444763271165,98.36442166922535,19.978479196556673,16.176470588235293,14.86728837876614,11.953012912482066,8.913199426111907,4.66284074605452,2.5735294117647056,6.692261566,11.657088,84.9,111.7,0.33,7.92,22.217877004848937,2627.0,4,2,8.71
E02000112,56.87659574468085,13.880851063829788,3.4382978723404256,19.931914893617023,5.872340425531915,49.63408684338917,96.75622673909767,20.84891852333713,17.620751341681572,16.05952187347536,11.465278907139373,8.562367864693446,4.073833143600585,3.5208977069442184,6.762524306,12.4522928,118.9,126.2,0.43,8.16,23.599742559523808,2420.0,4,2,8.23
E02000113,18.313953488372093,44.8297342192691,5.544019933554818,20.348837209302324,10.96345514950166,52.38498149127446,63.43502331768031,20.486515071390798,11.686938127974617,12.511898466419883,13.939714436805922,9.783183500793232,5.03437334743522,2.2104706504494978,11.46140244,13.8339031,93.3,152.7,0.83,13.59,45.0679723035117,485.0,1,1,10.41
E02000114,19.34838207494718,14.678082953408206,7.961748026242634,48.12632047147782,9.885466473924163,50.85297418630752,146.48292229508445,20.58361391694725,20.31425364758698,15.173961840628508,12.469135802469136,8.069584736251404,4.029180695847363,2.166105499438833,8.654347671,15.2790653,66.7,85.6,0.71,9.98,24.566917720834685,2283.0,4,2,6.96
E02000115,11.589327146171694,14.39675174013921,7.494199535962877,54.0139211136891,12.505800464037122,49.89858012170386,98.1955349096992,20.522610666984846,19.162391122777713,14.640257725808375,12.420952153680945,8.543133277651831,4.86815415821501,3.1619138527622,8.645680682,13.8580087,103.2,118.2,1.02,9.0,23.96195340628309,2368.0,4,2,5.89
E02000116,20.58032058032058,21.235521235521233,7.780507780507781,35.36913536913537,15.034515034515033,53.083391730904,77.95807164642324,18.96753095071245,15.218406914272368,15.335202055594488,13.548236393366036,8.304134548002803,3.632328895117963,1.8570427470217241,9.510987007,14.815786,89.6,148.3,0.71,11.15,34.40406928406467,1091.0,2,1,8.04
E02000117,15.233608166470358,40.6831566548881,6.376128778955634,27.6403612092658,10.066745190420102,53.68694420398206,142.0926740091951,18.430786180845203,13.197450224285825,13.472888958841583,14.259856771858031,8.664515621311088,4.029275202644212,2.7858660580782244,10.5661607,13.7427261,95.0,134.3,0.95,14.36,40.87962306326662,674.0,1,1,9.82
E02000118,63.95750332005312,11.5891987605135,2.275343072155821,15.980522355024346,6.19743249225321,49.55261274158912,90.9883850582916,21.313528990694344,16.562276306370794,13.278453829634932,13.278453829634932,9.234073013600574,4.393342877594846,2.344309234073014,7.105729053,12.6734551,100.3,109.5,0.39,9.51,23.451696060577014,2448.0,4,2,10.09
E02000119,16.388967335027772,42.30443377576955,5.9493551727383975,21.764096771156925,13.593146945307351,52.52130681818182,43.79784898533468,19.211647727272727,17.86221590909091,13.192471590909092,12.136008522727272,7.1555397727272725,3.053977272727273,2.370383522727273,12.27208856,14.113452,76.2,164.3,0.8,13.47,45.55961340206186,466.0,1,1,9.97
E02000120,12.143728512809137,14.306310302761451,7.363868248863259,56.715093711877564,9.470999223688588,52.689655172413794,171.8491252958364,20.45977011494253,19.60919540229885,16.034482758620687,12.528735632183906,7.885057471264368,4.908045977011494,2.344827586206897,8.5244644,13.4062102,90.0,108.0,1.23,8.04,25.24858486532706,2184.0,4,2,5.54
E02000121,64.21044032350298,10.693570786700434,2.6059962421370804,14.647496119598072,7.8424965280614325,50.400647511129094,88.66911207194104,21.464993929583166,16.891946580331847,15.216511533791987,10.85390530149737,7.333063537029543,4.516390125455281,2.8895184135977336,6.546194242,12.4170568,118.7,118.5,0.41,9.77,22.230575781326543,2624.0,4,2,9.98
E02000122,15.342298288508557,9.853300733496333,7.76283618581907,57.12713936430318,9.91442542787286,52.10335788291099,67.02937894878835,15.603545125452504,14.505055548620646,14.742229434527523,14.355261515416304,10.747721882411684,6.241418050181001,4.456372487829235,7.149195682,11.7664512,85.7,99.8,0.87,8.04,17.425947625610828,3555.0,6,3,6.03
E02000123,13.798689345409027,30.63102864295707,7.790295265444371,38.178337383108754,9.601649363080774,52.59232175502743,133.1392928766026,18.43510054844607,15.115173674588666,14.968921389396709,15.129798903107861,7.93418647166362,3.751371115173675,2.457038391224863,9.687998449,14.073457,84.6,139.0,0.85,12.48,36.124354966286305,956.0,2,1,9.21
E02000124,9.794073329984933,11.562029131089904,8.066298342541437,64.0381717729784,6.539427423405324,54.089682374922155,87.20401123295662,17.635457753788668,17.043803197010586,16.119991696076397,13.379696906788457,9.082416441768736,4.878555117292921,2.1382603280049826,8.013864208,12.8415751,96.0,105.9,0.98,6.7,21.09339867667391,2833.0,5,3,5.49
E02000125,12.52641110775732,16.70188147700976,7.5057852902706514,56.39400342086729,6.87191870409498,52.78749228553795,127.15129604848015,15.39806624151409,16.796955358979634,15.068915860933965,14.873482822464512,9.62764863196873,4.885825961736268,3.3840773503394366,7.675803339,12.3487152,89.3,93.6,0.91,9.51,18.76533574074074,3301.0,5,3,7.47
E02000126,13.790578472052722,35.892116182572614,6.992921649987796,31.791554796192333,11.532828899194532,51.81977911646586,181.06597630885196,20.707831325301203,16.20230923694779,13.541666666666666,13.980923694779115,8.44628514056225,4.116465863453815,2.083333333333333,12.32699918,13.7769067,78.1,143.8,1.14,8.26,38.516587840558316,814.0,2,1,7.01
E02000127,7.429245283018868,12.59648370497427,5.69253859348199,71.36578044596914,2.9159519725557463,53.465878559914024,41.8693228953822,14.454594304137562,15.335840945728101,15.55077915099409,13.283181085437937,9.059645351961311,5.566899516389038,3.1810854379365936,8.496267451,12.3350548,103.8,87.7,1.83,11.93,31.154922960069445,1419.0,3,2,7.51
E02000128,7.151110540505841,4.981384003081269,4.917190910258056,81.07587623571703,1.8744383104377969,51.5892740353172,30.12699468145198,11.70699803793329,14.244604316546763,14.637017658600392,13.342053629823415,10.412034009156311,8.005232177894047,5.219097449313277,6.058250526,10.9926124,71.7,73.1,1.56,8.92,11.754557284299858,5010.0,8,4,6.12
E02000130,6.347134891446197,13.999288171787875,8.375845296001899,67.96773045438368,3.3100011863803536,53.28955223880597,56.3802224302767,12.776119402985076,18.00597014925373,16.93134328358209,13.671641791044776,8.799999999999999,6.877611940298507,2.8656716417910446,7.070312776,11.4793049,77.0,83.8,1.35,10.3,17.555817572335922,3524.0,6,3,6.14
E02000131,5.34045393858478,18.60576006103376,9.555597940110623,63.22716002288766,3.2710280373831773,53.094118775784324,59.10508961905505,14.918929290991079,25.75074354792286,17.586107646550897,12.87537177396143,6.159455051328792,3.0605391921711598,0.8155041734625348,8.730683369,13.8885767,80.4,81.6,1.24,10.2,22.164807626864178,2638.0,4,2,5.81
E02000132,8.815455007625825,9.517031011692934,7.788510421962378,70.77783426537874,3.101169293340112,51.764586914753764,56.83605095603465,12.124582869855395,21.154818485185558,17.817777328344626,12.347052280311457,7.806653857821823,7.412276266558802,4.358377995752857,7.351315861,12.0624291,60.8,79.1,1.02,8.13,15.421347252518958,4007.0,6,3,5.4
E02000133,9.676519799219186,3.7367540435025095,4.973043316601599,79.47573898494143,2.137943855735267,52.13460104399702,17.998148671755764,10.69164802386279,11.027218493661445,15.837061894108876,15.34302759134974,10.673005219985086,8.90193885160328,6.944444444444445,4.932310529,9.0626227,70.2,60.2,1.29,7.61,6.742223472208981,6344.0,10,5,5.63
E02000134,8.169517487873373,8.424814909369417,6.961109692792103,73.62777635945878,2.81678155050634,52.191235059760956,61.49507901886001,13.884885987963042,17.801135882003898,16.224463846740697,12.918538611511401,9.154869882173434,6.077816393998474,3.331355429346444,6.904322574,12.1516327,82.2,98.6,1.15,7.77,15.9732266469153,3884.0,6,3,6.11
E02000135,6.584278768233387,26.975283630470017,8.985008103727715,53.80875202593193,3.6466774716369525,54.38199938354054,84.53241832906772,16.77797184835097,18.74036782081578,14.219665057022501,14.342956950580499,8.733175793691565,4.089181136340286,2.3733689509914724,10.81495806,13.881137,77.6,129.7,1.46,13.15,33.39903611432986,1184.0,2,1,7.18
E02000136,8.75543951261967,6.179286335944299,3.8120104438642297,78.86858137510879,2.3846823324630115,52.48289173539218,12.489460404396546,12.668889278820847,11.387962800491314,12.668889278820847,14.05509738550623,10.738726092296893,9.49289349008598,8.58045271100193,6.66622237,10.5143122,83.9,75.5,1.88,11.33,20.13959566660842,3016.0,5,3,7.36
